time,logger,level,database,message,exception
2013-09-12 00:02:00.2917,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 105, for: ReducingExecuter, will wait for additional work",
2013-09-12 00:02:00.2917,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 105, for: IndexingExecuter, will wait for additional work",
2013-09-12 00:02:27.7396,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:27.7396,Raven.Database.Server.HttpServer,Debug,,"Request #1,557: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:27.9204,Raven.Database.Server.HttpServer,Debug,,"Request #1,558: HEAD    -     0 ms - <system>   - 200 - /indexes/CurrentEventIndex",
2013-09-12 00:02:28.0224,Raven.Database.Server.HttpServer,Debug,,"Request #1,559: PUT     -     1 ms - <system>   - 201 - /indexes/CurrentEventIndex",
2013-09-12 00:02:28.0364,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:28.0364,Raven.Database.Server.HttpServer,Debug,,"Request #1,560: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:28.3048,Raven.Database.Server.HttpServer,Debug,,"Request #1,561: HEAD    -     0 ms - <system>   - 200 - /indexes/RegistrationByUserAndEvent",
2013-09-12 00:02:28.3048,Raven.Database.Server.HttpServer,Debug,,"Request #1,562: PUT     -     0 ms - <system>   - 201 - /indexes/RegistrationByUserAndEvent",
2013-09-12 00:02:28.3048,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:28.3048,Raven.Database.Server.HttpServer,Debug,,"Request #1,563: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:28.5611,Raven.Database.Server.HttpServer,Debug,,"Request #1,564: HEAD    -     0 ms - <system>   - 200 - /indexes/SessionSummaryPageIndex",
2013-09-12 00:02:28.5611,Raven.Database.Server.HttpServer,Debug,,"Request #1,565: PUT     -     0 ms - <system>   - 201 - /indexes/SessionSummaryPageIndex",
2013-09-12 00:02:28.5611,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:28.5611,Raven.Database.Server.HttpServer,Debug,,"Request #1,566: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:28.8252,Raven.Database.Server.HttpServer,Debug,,"Request #1,567: HEAD    -     0 ms - <system>   - 200 - /indexes/SubmittedSessionsIndex",
2013-09-12 00:02:28.8282,Raven.Database.Server.HttpServer,Debug,,"Request #1,568: PUT     -     0 ms - <system>   - 201 - /indexes/SubmittedSessionsIndex",
2013-09-12 00:02:28.8282,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:28.8282,Raven.Database.Server.HttpServer,Debug,,"Request #1,569: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:29.0791,Raven.Database.Server.HttpServer,Debug,,"Request #1,570: HEAD    -     0 ms - <system>   - 200 - /indexes/UserViaProviderIndex",
2013-09-12 00:02:29.0791,Raven.Database.Server.HttpServer,Debug,,"Request #1,571: PUT     -     0 ms - <system>   - 201 - /indexes/UserViaProviderIndex",
2013-09-12 00:02:29.0791,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:29.0791,Raven.Database.Server.HttpServer,Debug,,"Request #1,572: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:02:29.3315,Raven.Database.Server.HttpServer,Debug,,"Request #1,573: HEAD    -     0 ms - <system>   - 200 - /indexes/UserWithEmailIndex",
2013-09-12 00:02:29.3315,Raven.Database.Server.HttpServer,Debug,,"Request #1,574: PUT     -     0 ms - <system>   - 201 - /indexes/UserWithEmailIndex",
2013-09-12 00:02:29.3315,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-12 00:02:29.3315,Raven.Database.Server.HttpServer,Debug,,"Request #1,575: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-09-12 00:04:33.2234,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index UserViaProviderIndex for: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ,
2013-09-12 00:04:33.2234,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'users/eisenbergeffect' was found,
2013-09-12 00:04:33.2234,Raven.Database.Server.HttpServer,Debug,,"Request #1,576: GET     -     3 ms - <system>   - 200 - /indexes/UserViaProviderIndex?query=OAuthAccounts_Provider%253Afakefacebook%2520AND%2520OAuthAccounts_ProviderUserId%253AFakeId%255C-ABCDEFGHIJKLMNOPQRSTUVWXYZ&pageSize=2",
2013-09-12 00:04:33.2234,Raven.Database.Server.HttpServer,Debug,,"	Query: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ
	Time: 2 ms
	Index: UserViaProviderIndex
	Results: 1 returned out of 1 total.
",
2013-09-12 00:04:33.2984,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index CurrentEventIndex for: IsCurrent:true,
2013-09-12 00:04:33.2984,Raven.Database.Server.HttpServer,Debug,,"Request #1,577: GET     -     1 ms - <system>   - 200 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.2994,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 1 ms
	Index: CurrentEventIndex
	Results: 0 returned out of 0 total.
",
2013-09-12 00:04:33.3194,Raven.Database.Server.HttpServer,Debug,,"Request #1,578: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.3194,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:33.4264,Raven.Database.Server.HttpServer,Debug,,"Request #1,579: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.4264,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:33.5214,Raven.Database.Server.HttpServer,Debug,,"Request #1,580: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.5214,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:33.6064,Raven.Database.Server.HttpServer,Debug,,"Request #1,581: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.6064,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:33.7014,Raven.Database.Server.HttpServer,Debug,,"Request #1,582: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:33.7014,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:55.7214,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index Raven/DocumentsByEntityName for: Tag:Events,
2013-09-12 00:04:55.7214,Raven.Database.Server.HttpServer,Debug,,"Request #1,583: GET     -     2 ms - <system>   - 200 - /indexes/dynamic/Events?query=&pageSize=128",
2013-09-12 00:04:55.7214,Raven.Database.Server.HttpServer,Debug,,"	Query: Tag:Events
	Time: 2 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 0 total.
",
2013-09-12 00:04:55.7214,Raven.Database.Server.HttpServer,Debug,,"Request #1,584: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:55.7214,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:04:55.8097,Raven.Database.Server.HttpServer,Debug,,"Request #1,585: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:04:55.8107,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:05:00.1175,Raven.Database.Server.HttpServer,Debug,,"Request #1,586: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:05:00.1175,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:05:00.2055,Raven.Database.Server.HttpServer,Debug,,"Request #1,587: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:05:00.2055,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:05:04.2420,Raven.Database.Server.HttpServer,Debug,,"Request #1,588: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:05:04.2420,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
2013-09-12 00:05:04.3210,Raven.Database.Server.HttpServer,Debug,,"Request #1,589: GET     -     0 ms - <system>   - 304 - /indexes/CurrentEventIndex?query=IsCurrent%253Atrue&pageSize=2",
2013-09-12 00:05:04.3210,Raven.Database.Server.HttpServer,Debug,,"	Query: IsCurrent:true
	Time: 0 ms
",
