time,logger,level,database,message,exception
2013-09-11 00:08:01.8065,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:08:01.8065,Raven.Database.Server.HttpServer,Debug,,Request # 927: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:08:01.9095,Raven.Database.Server.HttpServer,Debug,,Request # 928: GET     -     0 ms - <system>   - 304 - /indexes/SubmittedSessionsIndex?query=Event_Id%253Aevents%252Fcode%255C-camp%255C-9%2520AND%2520Submitter_Id%253Ausers%252Feisenbergeffect&pageSize=128,
2013-09-11 00:08:01.9095,Raven.Database.Server.HttpServer,Debug,,"	Query: Event_Id:events/code\-camp\-9 AND Submitter_Id:users/eisenbergeffect
	Time: 0 ms
",
2013-09-11 00:11:36.0039,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 76, for: ReducingExecuter, will wait for additional work",
2013-09-11 00:11:36.0319,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 76, for: IndexingExecuter, will wait for additional work",
2013-09-11 00:33:02.5522,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:33:02.5522,Raven.Database.Server.HttpServer,Debug,,Request # 929: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:33:02.7202,Raven.Database.Server.HttpServer,Debug,,Request # 930: HEAD    -     0 ms - <system>   - 200 - /indexes/RegistrationByUserAndEvent,
2013-09-11 00:33:02.8213,Raven.Database.Server.HttpServer,Debug,,Request # 931: PUT     -     1 ms - <system>   - 201 - /indexes/RegistrationByUserAndEvent,
2013-09-11 00:33:02.8343,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:33:02.8343,Raven.Database.Server.HttpServer,Debug,,Request # 932: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:33:03.1063,Raven.Database.Server.HttpServer,Debug,,Request # 933: HEAD    -     0 ms - <system>   - 200 - /indexes/SubmittedSessionsIndex,
2013-09-11 00:33:03.1063,Raven.Database.Server.HttpServer,Debug,,Request # 934: PUT     -     1 ms - <system>   - 201 - /indexes/SubmittedSessionsIndex,
2013-09-11 00:33:03.1063,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:33:03.1063,Raven.Database.Server.HttpServer,Debug,,Request # 935: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:33:03.3695,Raven.Database.Server.HttpServer,Debug,,Request # 936: HEAD    -     0 ms - <system>   - 200 - /indexes/UserViaProviderIndex,
2013-09-11 00:33:03.3695,Raven.Database.Server.HttpServer,Debug,,Request # 937: PUT     -     0 ms - <system>   - 201 - /indexes/UserViaProviderIndex,
2013-09-11 00:33:03.3695,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:33:03.3695,Raven.Database.Server.HttpServer,Debug,,Request # 938: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:33:03.6204,Raven.Database.Server.HttpServer,Debug,,Request # 939: HEAD    -     0 ms - <system>   - 200 - /indexes/UserWithEmailIndex,
2013-09-11 00:33:03.6204,Raven.Database.Server.HttpServer,Debug,,Request # 940: PUT     -     0 ms - <system>   - 201 - /indexes/UserWithEmailIndex,
2013-09-11 00:33:03.6204,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-11 00:33:03.6204,Raven.Database.Server.HttpServer,Debug,,Request # 941: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-11 00:33:08.7368,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index UserViaProviderIndex for: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ,
2013-09-11 00:33:08.7368,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'users/eisenbergeffect' was found,
2013-09-11 00:33:08.7368,Raven.Database.Server.HttpServer,Debug,,Request # 942: GET     -     3 ms - <system>   - 200 - /indexes/UserViaProviderIndex?query=OAuthAccounts_Provider%253Afakefacebook%2520AND%2520OAuthAccounts_ProviderUserId%253AFakeId%255C-ABCDEFGHIJKLMNOPQRSTUVWXYZ&pageSize=2,
2013-09-11 00:33:08.7368,Raven.Database.Server.HttpServer,Debug,,"	Query: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ
	Time: 2 ms
	Index: UserViaProviderIndex
	Results: 1 returned out of 1 total.
",
2013-09-11 00:33:08.8168,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index RegistrationByUserAndEvent for: User_Id:users/eisenbergeffect AND Event_Id:events/code\-camp\-9,
2013-09-11 00:33:08.8168,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'eventregistrations/257' was found,
2013-09-11 00:33:08.8168,Raven.Database.Server.HttpServer,Debug,,Request # 943: GET     -     2 ms - <system>   - 200 - /indexes/RegistrationByUserAndEvent?query=User_Id%253Ausers%252Feisenbergeffect%2520AND%2520Event_Id%253Aevents%252Fcode%255C-camp%255C-9&pageSize=2,
2013-09-11 00:33:08.8168,Raven.Database.Server.HttpServer,Debug,,"	Query: User_Id:users/eisenbergeffect AND Event_Id:events/code\-camp\-9
	Time: 2 ms
	Index: RegistrationByUserAndEvent
	Results: 1 returned out of 1 total.
",
2013-09-11 00:33:08.8598,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index SubmittedSessionsIndex for: Event_Id:events/code\-camp\-9 AND Submitter_Id:users/eisenbergeffect,
2013-09-11 00:33:08.8598,Raven.Database.Server.HttpServer,Debug,,Request # 944: GET     -     1 ms - <system>   - 200 - /indexes/SubmittedSessionsIndex?query=Event_Id%253Aevents%252Fcode%255C-camp%255C-9%2520AND%2520Submitter_Id%253Ausers%252Feisenbergeffect&pageSize=128,
2013-09-11 00:33:08.8598,Raven.Database.Server.HttpServer,Debug,,"	Query: Event_Id:events/code\-camp\-9 AND Submitter_Id:users/eisenbergeffect
	Time: 1 ms
	Index: SubmittedSessionsIndex
	Results: 0 returned out of 0 total.
",
2013-09-11 00:34:37.4877,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Hilo/sessions' was not found,
2013-09-11 00:34:37.4877,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/ServerPrefixForHilo' was not found,
2013-09-11 00:34:37.4877,Raven.Database.Server.HttpServer,Debug,,Request # 945: GET     -     0 ms - <system>   - 200 - /queries/?&id=Raven/Hilo/sessions&id=Raven/ServerPrefixForHilo,
2013-09-11 00:34:37.4997,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Hilo/sessions', update: False, ",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 77 because: PUT Raven/Hilo/sessions,
2013-09-11 00:34:37.4997,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Hilo/sessions with etag 00000001-0000-0200-0000-000000000018,
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0200-0000-000000000017: (Raven/Hilo/sessions),
2013-09-11 00:34:37.4997,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 77, for: ReducingExecuter, will wait for additional work",
2013-09-11 00:34:37.4997,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/sessions,
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0200-0000-000000000017: (Raven/Hilo/sessions)",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for RegistrationByUserAndEvent, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000018, 09/11/2013 04:34:37",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserViaProviderIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000018, 09/11/2013 04:34:37",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for SubmittedSessionsIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000018, 09/11/2013 04:34:37",
2013-09-11 00:34:37.4997,Raven.Database.Server.HttpServer,Debug,,Request # 946: PUT     -     2 ms - <system>   - 201 - /docs/Raven/Hilo/sessions,
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserWithEmailIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000018, 09/11/2013 04:34:37",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Hilo/sessions),
2013-09-11 00:34:37.4997,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-09-11 00:34:37.4997,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0200-0000-000000000018 for Raven/DocumentsByEntityName",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 78 because: WORK BY IndexingExecuter,
2013-09-11 00:34:37.4997,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 78, for: IndexingExecuter, will wait for additional work",
2013-09-11 00:34:37.4997,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 78, for: ReducingExecuter, will wait for additional work",
2013-09-11 00:34:37.5247,Raven.Database.Server.HttpServer,Debug,,Request # 947: GET     -     4 ms - <system>   - 200 - /stats?noCache=-1546206734,
2013-09-11 00:34:37.5317,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'sessions/1', update: False, ",
2013-09-11 00:34:37.5317,Raven.Database.DocumentDatabase,Debug,<system>,Put document sessions/1 with etag 00000001-0000-0200-0000-000000000019,
2013-09-11 00:34:37.5317,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 79 because: PUT sessions/1,
2013-09-11 00:34:37.5317,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0007954,
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0200-0000-000000000018: (sessions/1),
2013-09-11 00:34:37.5317,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 79, for: ReducingExecuter, will wait for additional work",
2013-09-11 00:34:37.5317,Raven.Database.Server.HttpServer,Debug,,Request # 948: POST    -     1 ms - <system>   - 200 - /bulk_docs,
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0200-0000-000000000018: (sessions/1)",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for RegistrationByUserAndEvent, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000019, 09/11/2013 04:34:37",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserViaProviderIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000019, 09/11/2013 04:34:37",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserWithEmailIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000019, 09/11/2013 04:34:37",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: SubmittedSessionsIndex, LastIndexedEtag: 00000001-0000-0200-0000-000000000018: (sessions/1)",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: SubmittedSessionsIndex. (sessions/1),
2013-09-11 00:34:37.5317,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (sessions/1),
2013-09-11 00:34:37.5317,Raven.Database.Server.HttpServer,Debug,,"	PUT sessions/1
",
2013-09-11 00:34:37.5317,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on sessions/1 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: sessions/1
	Tag I-: Sessions
	LastModified I-: 2013-09-11T04:34:37.5317166Z
",
2013-09-11 00:34:37.5507,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
