time,logger,level,database,message,exception
2013-09-13 00:17:14.2529,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 00:17:14.2639,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 01:17:14.2549,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 01:17:14.2650,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 02:17:14.2555,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 02:17:14.2655,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 03:17:14.2567,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 03:17:14.2657,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 04:17:14.2579,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 04:17:14.2579,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 05:17:14.2592,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 05:17:14.2592,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 06:17:14.2597,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 06:17:14.3037,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 07:17:14.2614,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 07:17:14.3049,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
2013-09-13 08:17:14.2652,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 421, for: ReducingExecuter, will wait for additional work",
2013-09-13 08:17:14.3194,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 421, for: IndexingExecuter, will wait for additional work",
